TimeStamp, ax, ay, az, gx, gy, gz, mx, my, mz 
hh:mm:ss, mg/LSB, mg/LSB, mg/LSB, mdps/LSB, mdps/LSB, mdps/LSB, mgauss/LSB, mgauss/LSB, mgauss/LSB
19980880,-773,201,16880,56,-122,-116,-255,32,-189
19981380,-757,223,16900,38,-100,-104,-254,37,-194
19981880,-757,206,16902,45,-121,-108,-251,28,-194
19982380,-738,242,16913,37,-115,-100,-249,34,-199
19982880,-730,211,16860,35,-114,-104,-247,44,-186
19983380,-772,205,16852,35,-126,-96,-257,37,-214
19983880,-761,183,16868,43,-114,-94,-266,38,-207
19984380,-760,190,16879,41,-114,-90,-245,34,-192
19984880,-752,223,16850,41,-100,-103,-252,33,-195
19985380,-763,189,16890,45,-120,-95,-255,31,-213
19985880,-765,199,16865,41,-116,-103,-259,40,-195
19986380,-765,208,16867,34,-114,-83,-254,36,-197
19986880,-733,202,16916,50,-116,-107,-253,34,-194
19987380,-756,187,16895,42,-110,-103,-254,34,-192
19987880,-785,195,16864,42,-114,-101,-255,33,-197
19988380,-767,179,16838,31,-112,-90,-257,30,-207
19988880,-806,247,16807,47,-107,-107,-251,43,-191
19989380,-790,231,16854,43,-104,-108,-242,33,-198
19989880,-771,204,16898,45,-113,-114,-245,32,-192
19990380,-750,209,16881,35,-116,-100,-256,29,-217
19990880,-792,174,16832,47,-107,-109,-252,33,-197
19991380,-744,227,16841,44,-115,-92,-251,44,-186
19991880,-712,177,16885,48,-122,-102,-249,37,-193
19992380,-803,242,16876,49,-114,-101,-253,35,-203
19992880,-782,220,16868,41,-118,-94,-248,36,-191
19993380,-776,227,16886,44,-112,-102,-246,29,-193
19993880,-760,192,16832,53,-111,-102,-257,33,-199
19994380,-763,206,16892,48,-110,-102,-251,40,-199
19994880,-817,206,16868,40,-109,-94,-246,40,-206
19995381,-770,224,16831,45,-112,-95,-260,33,-201
19995880,-795,200,16818,52,-132,-107,-258,28,-207
19996382,-778,217,16879,44,-113,-99,-256,38,-194
19996880,-795,205,16899,46,-105,-99,-246,35,-189
19997382,-789,211,16867,33,-101,-91,-252,31,-194
19997880,-736,218,16847,47,-120,-108,-251,29,-194
19998382,-728,239,16885,41,-108,-95,-260,32,-193
19998880,-753,201,16863,43,-100,-90,-254,35,-219
19999382,-713,216,16867,36,-111,-101,-250,37,-202
19999880,-744,201,16844,37,-128,-93,-246,38,-195
20000382,-787,226,16864,42,-104,-92,-251,41,-200
20000880,-756,196,16864,39,-103,-100,-247,31,-191
20001382,-798,200,16899,44,-120,-106,-245,30,-193
20001880,-753,203,16836,40,-111,-104,-248,37,-191
20002382,-812,256,16853,55,-123,-103,-256,34,-204
20002880,-749,229,16852,44,-98,-98,-249,38,-198
20003381,-786,167,16873,55,-122,-90,-245,35,-199
20003880,-758,227,16874,44,-117,-103,-250,32,-192
20004381,-787,231,16851,36,-110,-108,-257,39,-195
20004880,-808,188,16860,50,-113,-103,-247,31,-192
20005381,-744,185,16860,39,-98,-99,-241,33,-193
20005880,-788,189,16832,54,-124,-110,-264,33,-199
20006381,-756,246,16879,55,-109,-95,-255,32,-213
20006880,-770,202,16862,42,-118,-100,-257,31,-191
20007381,-795,218,16875,40,-106,-80,-257,35,-200
20007880,-786,178,16877,40,-115,-97,-259,25,-220
20008381,-760,163,16885,48,-115,-100,-244,37,-205
20008880,-736,192,16859,31,-109,-96,-238,36,-181
20009381,-748,245,16849,49,-111,-95,-246,34,-197
20009880,-787,184,16873,43,-113,-97,-253,31,-213
20010381,-791,184,16860,52,-125,-96,-251,36,-205
20010880,-771,222,16857,42,-109,-94,-243,38,-196
20011381,-747,183,16896,40,-109,-101,-249,28,-194
20011880,-770,209,16865,39,-119,-98,-240,44,-182
20012381,-786,193,16846,49,-112,-100,-244,34,-193
20012880,-776,222,16871,53,-114,-99,-250,26,-203
20013381,-789,221,16856,31,-115,-103,-259,28,-191
20013880,-774,212,16858,38,-104,-95,-263,36,-216
20014381,-767,193,16860,50,-128,-107,-247,36,-209
20014880,-798,163,16851,48,-119,-103,-248,37,-200
20015381,-755,210,16868,45,-118,-101,-252,43,-194
20015880,-734,199,16852,46,-115,-94,-260,36,-201
20016381,-780,213,16841,40,-116,-97,-248,38,-193
20016880,-757,203,16826,47,-119,-97,-240,31,-194
20017381,-772,203,16851,47,-110,-106,-250,32,-188
20017880,-799,180,16857,45,-113,-97,-249,37,-203
20018381,-763,219,16865,42,-116,-94,-249,31,-201
20018880,-786,233,16856,40,-94,-99,-262,25,-206
20019381,-748,233,16839,51,-125,-103,-247,35,-197
20019880,-726,198,16900,52,-124,-98,-255,33,-200
20020380,-775,204,16869,45,-117,-106,-257,36,-205
20020880,-776,237,16856,38,-110,-104,-252,33,-210
20021380,-783,208,16844,46,-112,-109,-257,30,-209
20021880,-785,217,16847,38,-101,-100,-262,29,-212
20022380,-790,207,16872,43,-113,-111,-258,39,-203
20022880,-788,201,16845,47,-119,-99,-262,37,-205
20023380,-808,198,16841,44,-111,-96,-257,35,-204
20023880,-799,192,16891,47,-122,-103,-257,31,-208
20024380,-743,228,16852,48,-114,-106,-252,38,-193
